ID;R;G;B;Country;StateName;ProvinceName
1;190;141;225;Afghanistan;Badakhshan;Baharak
2;220;176;99;Afghanistan;Badakhshan;Darwaz
3;209;210;170;Afghanistan;Badakhshan;Fayzabad
4;110;93;65;Afghanistan;Badakhshan;Ishkashim
5;236;62;242;Afghanistan;Badakhshan;Jurm
6;105;115;149;Afghanistan;Badakhshan;Khwahan
7;144;209;239;Afghanistan;Badakhshan;Kishim
8;117;157;155;Afghanistan;Badakhshan;Kuran Wa Munjan
9;71;69;212;Afghanistan;Badakhshan;Ragh
10;50;224;85;Afghanistan;Badakhshan;Shahri Buzurg
11;50;254;73;Afghanistan;Badakhshan;Shighnan
12;227;215;148;Afghanistan;Badakhshan;Wakhan
13;200;165;240;Afghanistan;Badakhshan;Zebak
14;52;207;137;Afghanistan;Badghis;Ab Kamari
15;135;153;91;Afghanistan;Badghis;Ghormach
16;238;195;104;Afghanistan;Badghis;Jawand
17;223;135;52;Afghanistan;Badghis;Muqur
18;79;80;137;Afghanistan;Badghis;Murghab
19;180;225;203;Afghanistan;Badghis;Qadis
20;87;182;139;Afghanistan;Badghis;Qala-I-Naw
21;178;231;227;Afghanistan;Baghlan;Andarab
22;140;111;147;Afghanistan;Baghlan;Baghlan City
23;241;174;180;Afghanistan;Baghlan;Baghlani Jadid
24;165;81;86;Afghanistan;Baghlan;Burka
25;116;124;121;Afghanistan;Baghlan;Dahana-I-Ghori
26;177;101;122;Afghanistan;Baghlan;Doshi
27;151;83;57;Afghanistan;Baghlan;Kahmard
28;160;52;94;Afghanistan;Baghlan;Khinjan
29;111;180;95;Afghanistan;Baghlan;Khost Wa Firing
30;53;104;140;Afghanistan;Baghlan;Nahrin
31;185;153;160;Afghanistan;Baghlan;Puli Khumri
32;215;113;219;Afghanistan;Baghlan;Tala Wa Barfak
33;235;182;93;Afghanistan;Balkh;Balkh
34;110;52;48;Afghanistan;Balkh;Char Bolak
35;153;232;147;Afghanistan;Balkh;Charkint
36;111;162;237;Afghanistan;Balkh;Chimtal
37;183;151;150;Afghanistan;Balkh;Dawlat abad
38;198;65;179;Afghanistan;Balkh;Dihdadi
39;164;123;239;Afghanistan;Balkh;Kaldar
40;232;110;233;Afghanistan;Balkh;Khulm
41;183;183;93;Afghanistan;Balkh;Kishindih
42;227;220;108;Afghanistan;Balkh;Marmul
43;96;160;178;Afghanistan;Balkh;Mazar-i-Sharif
44;59;63;104;Afghanistan;Balkh;Nahri Shahi
45;122;46;225;Afghanistan;Balkh;Sholgara
46;92;249;130;Afghanistan;Balkh;Shortepa
47;86;113;214;Afghanistan;Bamyan;Bamyan City
48;159;76;212;Afghanistan;Bamyan;Panjab
49;100;145;112;Afghanistan;Bamyan;Shibar
50;90;107;74;Afghanistan;Bamyan;Waras
51;228;194;210;Afghanistan;Bamyan;Yakawlang
52;145;100;163;Afghanistan;Daykundi;Day Kundi
53;148;76;135;Afghanistan;Daykundi;Gizab
54;144;94;85;Afghanistan;Daykundi;Kijran
55;179;53;108;Afghanistan;Daykundi;Shahristan
56;184;225;175;Afghanistan;Farah;Anar Dara
57;200;165;239;Afghanistan;Farah;Bakwa
58;58;179;250;Afghanistan;Farah;Bala Buluk
59;141;230;225;Afghanistan;Farah;Farah City
60;243;95;103;Afghanistan;Farah;Gulistan
61;194;171;135;Afghanistan;Farah;Khaki Safed
62;54;130;180;Afghanistan;Farah;Lash Wa Juwayn
63;99;143;211;Afghanistan;Farah;Purchaman
64;145;220;167;Afghanistan;Farah;Pusht Rod
65;100;64;139;Afghanistan;Farah;Qala-I-Kah
66;69;152;59;Afghanistan;Farah;Shib Koh
67;207;59;101;Afghanistan;Faryab;Almar
68;106;82;185;Afghanistan;Faryab;Andkhoy
69;215;255;148;Afghanistan;Faryab;Bilchiragh
70;78;89;137;Afghanistan;Faryab;Dawlat abad
